iter	Passed	Remaining
0	0	68
1	1	61
2	1	56
3	2	58
4	3	61
5	3	61
6	4	60
7	5	62
8	6	62
9	6	60
10	7	58
11	7	57
12	8	55
13	8	54
14	9	53
15	9	51
16	10	50
17	10	49
18	11	48
19	11	47
20	12	46
21	12	45
22	13	44
23	13	43
24	14	42
25	14	42
26	15	41
27	15	40
28	16	39
29	16	39
30	17	39
31	18	38
32	18	38
33	19	38
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	23	31
43	24	31
44	24	30
45	25	29
46	25	29
47	26	28
48	26	28
49	27	27
50	27	26
51	28	26
52	28	25
53	29	24
54	29	24
55	30	23
56	30	23
57	31	22
58	32	22
59	33	22
60	33	21
61	34	20
62	34	20
63	35	19
64	35	19
65	36	18
66	36	18
67	37	17
68	37	16
69	38	16
70	38	15
71	39	15
72	39	14
73	40	14
74	40	13
75	41	12
76	41	12
77	42	11
78	42	11
79	43	10
80	43	10
81	44	9
82	44	9
83	44	8
84	45	8
85	46	7
86	47	7
87	47	6
88	48	5
89	49	5
90	49	4
91	50	4
92	50	3
93	51	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	53	0
