iter	Passed	Remaining
0	357	356811
1	358	178647
2	358	119210
3	359	89473
4	359	71620
5	360	59737
6	361	51236
7	361	44869
8	362	39910
9	363	35944
10	363	32706
11	365	30060
12	365	27773
13	366	25811
14	367	24110
15	367	22622
16	368	21307
17	369	20145
18	369	19100
19	370	18161
20	371	17311
21	372	16539
22	372	15830
23	373	15183
24	374	14588
25	374	14037
26	375	13526
27	375	13051
28	376	12608
29	378	12222
30	378	11841
31	379	11478
32	380	11137
33	380	10814
34	381	10513
35	382	10230
36	382	9961
37	383	9704
38	383	9460
39	384	9228
40	385	9008
41	386	8810
42	387	8614
43	387	8426
44	388	8245
45	389	8071
46	390	7915
47	391	7757
48	391	7604
49	392	7456
50	393	7316
51	393	7180
52	394	7052
53	395	6929
54	396	6809
55	397	6693
56	397	6584
57	398	6474
58	399	6374
59	400	6271
60	400	6172
61	401	6076
62	402	5982
63	402	5891
64	403	5802
65	403	5716
66	404	5634
67	405	5554
68	405	5476
69	406	5401
70	407	5328
71	407	5257
72	408	5188
73	409	5123
74	410	5059
75	410	4995
76	411	4932
77	412	4872
78	413	4817
79	413	4760
80	414	4704
81	415	4649
82	415	4593
83	416	4541
84	417	4490
85	417	4441
86	418	4394
87	419	4346
88	420	4300
89	420	4256
90	421	4211
91	422	4168
92	423	4126
93	424	4086
94	424	4047
95	425	4010
96	426	3971
97	427	3934
98	428	3896
99	429	3861
100	430	3827
101	430	3793
102	431	3759
103	432	3726
104	433	3693
105	434	3661
106	434	3629
107	435	3599
108	436	3568
109	437	3539
110	438	3510
111	439	3483
112	440	3455
113	441	3432
114	442	3405
115	443	3378
116	444	3351
117	444	3324
118	445	3299
119	446	3274
120	447	3250
121	448	3226
122	449	3202
123	449	3177
124	450	3153
125	451	3130
126	451	3106
127	453	3086
128	453	3064
129	454	3043
130	455	3021
131	456	3001
132	457	2980
133	457	2959
134	458	2939
135	459	2920
136	460	2900
137	461	2881
138	462	2862
139	462	2843
140	463	2825
141	464	2805
142	465	2787
143	466	2770
144	467	2754
145	467	2737
146	468	2720
147	469	2704
148	470	2687
149	471	2671
150	472	2655
151	473	2639
152	474	2624
153	474	2608
154	475	2593
155	476	2579
156	477	2564
157	478	2549
158	479	2535
159	480	2520
160	480	2505
161	481	2491
162	482	2477
